用電端,用電端電號,月上限,年上限,RE,最低年轉供,綠電售價
玉山銀行,00-27-3280-11-9,700000,8200000,100%,0,4.8
玉山銀行,00-97-3500-11-0,1000000,10000000,100%,0,4.8
台灣資生堂,06-46-7103-11-2,650000,6600000,100%,0,6
台灣大哥大,00-04-8796-61-7,375000,450000,30%,0,5.5
