發電端,FIT,容量(kW),發電端電號
電廠1,4.7238,500.00,XX-XX-XXXX-XX-1
電廠2,4.9222,1282.00,XX-XX-XXXX-XX-2
電廠3,4.9222,1380.00,XX-XX-XXXX-XX-3
電廠4,4.3990,1260.00,XX-XX-XXXX-XX-4
電廠5,4.3990,1245.00,XX-XX-XXXX-XX-5
電廠6,4.1230,6497.04,XX-XX-XXXX-XX-6
電廠7,4.7900,21167.90,XX-XX-XXXX-XX-7
電廠8,4.1230,1779.98,XX-XX-XXXX-XX-8
